# 商品代號	商品名稱	成本	定價
130001	萊卡布─藍色	0	0
130002	萊卡布─黃色	0	0
130003	萊卡布─灰色	0	0
130004	萊卡布─綠色	0	0
130101	彈性纖維鬆頸枕套-藍 6M	1280	1280
130102	彈性纖維鬆頸枕套-藍 7M	1280	1280
130105	彈性纖維鬆頸枕套-黃 6CM	1280	1280
130106	彈性纖維鬆頸枕套-黃 7CM	1280	1280
130107	彈性纖維鬆頸枕套-黃 8.5CM	1280	1280
130109	彈性纖維鬆頸枕套-灰 6CM	1280	1280
130110	彈性纖維鬆頸枕套-灰 7CM	1280	1280
130113	彈性纖維鬆頸枕套-綠 6CM	1280	1280
130114	彈性纖維鬆頸枕套-綠 7CM	1280	1280
130116	彈性纖維鬆頸枕套-綠 10CM	1280	1280
130205	LaSova舒活墊-單加	3600	3600
130209	彈性纖維床包-藍單加	4500	4500
130210	彈性纖維床包-藍雙標	5400	5400
130213	彈性纖維床包-綠單加	4500	4500
130215	彈性纖維床包-綠雙加	6000	6000
130217	彈性纖維床尾巾-藍3尺	0	0
130218	彈性纖維床尾巾-藍6尺	0	0
130219	彈性纖維床尾巾-綠3尺	0	0
130220	彈性纖維床尾巾-綠6尺	0	0
130236	LaSova系統床櫃-柚木 雙標5x6.2	36800	36800
130245	彈性纖維床包-黃單加	4500	4500
130249	彈性纖維床尾巾-灰3尺	0	0
130250	彈性纖維床尾巾-灰6尺	0	0
130254	LaSova鬆頸隨心枕-萊卡灰	4600	4600
130256	鬆頸NASA枕套7CM(盒裝)	1280	1280
130257	鬆頸NASA枕套8.5CM(盒裝)	1280	1280
130258	鬆頸NASA枕套10CM(盒裝)	1280	1280
130260	鬆頸舒眠枕組7cm	7000	7000
130261	鬆頸舒眠枕組8.5cm	7000	7000
130262	鬆頸舒眠枕組10cm	7000	7000
130266	總裁枕-7cm	9800	9800
130267	總裁枕-8.5cm	9800	9800
130268	總裁枕-10cm	9800	9800
130273	LS Outlast床包3x6.2+20(展)	0	0
130279	LS 總裁NASA枕套7cm-亮米	1680	1680
130280	LS 總裁NASA枕套8.5cm-亮米	1680	1680
130281	LS 總裁NASA枕套10cm-亮米	1680	1680
130296	LS Outlast枕巾	880	880
130297	LS釋壓舒眠床-總裁系列(中+硬雙標5x6.2)	116500	116500
130301	LS釋壓舒眠床-總裁系列(中單標3x6.2)	64500	64500
130302	LS釋壓舒眠床-總裁系列(硬單標3x6.2)	64500	64500
130304	LS釋壓舒眠床-總裁系列(中單加3.5x6.2)	76500	76500
130305	LS釋壓舒眠床-總裁系列(硬單加3.5x6.2)	76500	76500
130307	LS釋壓舒眠床-總裁系列(中雙標5x6.2)	112500	112500
130308	LS釋壓舒眠床-總裁系列(硬雙標5x6.2)	112500	112500
130310	LS釋壓舒眠床-總裁系列(中雙加6x6.2)	126500	126500
130311	LS釋壓舒眠床-總裁系列(硬雙加6x6.2)	126500	126500
130314	LS釋壓舒眠床-總裁系列(硬雙特6x7)	135000	135000
130315	LaSova皇冠隨行枕	3200	3200
130316	LS釋壓舒眠薄床墊-皇家系列(10cm薄單標3x6.2)	42800	42800
130317	LS釋壓舒眠薄床墊-皇家系列(10cm薄單加3.5x6.2)	52800	52800
130318	LS釋壓舒眠薄床墊-皇家系列(10cm薄雙標5x6.2)	76000	76000
130319	LS釋壓舒眠薄床墊-皇家系列(10cm薄雙加6x6.2)	87000	87000
130324	LS總裁枕海藻紗枕套10cm	1980	1980
130325	LS 鬆頸舒眠枕海藻紗枕套7cm	1580	1580
130326	LS 鬆頸舒眠枕海藻紗枕套8.5cm	1580	1580
